,value,value_pair,count
440,တွင်,,769
441,တွင်,ရှိ,488
442,တွင်,ဖြစ်,316
443,တွင်,ပါဝင်,255
444,တွင်,သေဆုံး,169
445,တွင်,စတင်,126
446,တွင်,ဖြစ်ပွား,125
447,တွင်,ရရှိ,121
448,တွင်,ကျင်းပ,101
449,တွင်,ပြုလုပ်,84
450,တွင်,တိုက်ခိုက်,83
451,တွင်,ဖော်ပြ,76
452,တွင်,နေထိုင်,73
453,တွင်,ပြောကြား,71
454,တွင်,ရ,69
