value,dwin,hnai
ညှိနှိုင်း,4,1
တူးဖော်,4,1
ဖုံး,4,1
မူတည်,4,1
မှီခို,4,1
ကုန်ဆုံး,3,1
ကျဆုံး,3,1
တရားစီရင်,3,1
တောင်းပန်,3,1
နုတ်ထွက်,3,1
မဲဆွယ်,3,1
သို,3,1
ဟောပြော,3,1
ကယ်တင်,2,1
ဉီးဆောင်,2,1
တင်းမာ,2,1
တိုင်းတာ,2,1
ထိတွေ့,2,1
ထုတ်လွင့်,2,1
ပေါက်,2,1
ရေငုပ်,2,1
သေကြောင်းကြံ,2,1
မြင်ရ,1,1
သိရှိ,1,1
ချစ်မြတ်နိုး,,1
ချီးကျူး,,1
တိုးချဲ့,,1
နောက်,,1
ပျော်ရွှင်,,1
မဲ့,,1
မျိုးပွား,,1
လက်လျော့,,1
လို,,1
ဝင်ခွင့်ပြု,,1
အံ့ဩ,,1
ချိတ်ဆက်,11,1
ဖန်တီး,11,1
ရပ်ဆိုင်း,11,1
လွှတ်တင်,10,1
ရွှေ့,9,1
ဝေဖန်,9,1
တရားစွဲ,8,1
နားလည်,8,1
ဖတ်,8,1
လွှဲပြောင်း,8,1
ခိုး,7,1
စစ်ဆင်,7,1
ညှင်းပန်း,7,1
ပိတ်ပင်,7,1
အနားယူ,7,1
ဖြတ်တောက်,6,1
စွဲချက်တင်,5,1
ထည့်သွင်း,5,1
ဖြန့်ဝေ,5,1
လက်မှတ်ထိုး,5,1
ကျန်ရစ်,4,1
စာရင်းသွင်း,4,1
တည်,4,1
ရော,4,1
အာဏာသိမ်း,4,1
ခေါင်းဆောင်,3,1
ဆွဲယူ,3,1
တိုးမြင့်,3,1
မိတ်ဆက်,3,1
မြှုပ်နှံ,3,1
လေးစား,3,1
အခြေပြု,3,1
အယူခံဝင်,3,1
ဆုတောင်း,2,1
ထိန်း,2,1
ပံ့ပိုး,2,1
ပြန့်,2,1
ပြန့်ပွား,2,1
ပြိုလဲ,2,1
ဖယ်ရှားခံ,2,1
ဗုံးခွဲ,2,1
မေး,2,1
ရနိုင်,2,1
ရိုး,2,1
ရေး,2,1
လစ်လပ်,2,1
လုယက်,2,1
လွှင့်ထူ,2,1
အချက်ပြ,2,1
အဆုံးစီရင်,2,1
စိတ်ပျက်,1,1
တည်းခို,1,1
တန်,1,1
တီးခတ်,1,1
ထောင်ချခံ,1,1
နေထိုင်ကြ,1,1
ပတ်,1,1
ပြန်ကြား,1,1
ဖျက်,1,1
မူမမှန်,1,1
ယှဉ်,1,1
ရှိဆဲ,1,1
ရှောင်ရှား,1,1
လဲလှယ်,1,1
လွှဲအပ်,1,1
သာလွန်,1,1
အနည်းငယ်,1,1
အပန်းဖြေ,1,1
ကုန်ကူး,,1
ကျယ်လောင်,,1
ကျောင်းပိတ်,,1
ကျော်စော,,1
ကြိုးကိုင်ချယ်လှယ်,,1
ကြိုးဆွဲချ,,1
ကြိုးဆွဲထား,,1
ကြိုးပေး,,1
ကွဲကြေ,,1
ခိုလုံ,,1
ချန်ထား,,1
ချီးမြှင့်အပ်နှင်း,,1
ချုပ်ကိုင်,,1
ချဲ့,,1
ဂရုမပြုမိ,,1
ဂူသွင်းမြှုပ်နှံ,,1
စစ်ဖြစ်,,1
စာနာထောက်ထား,,1
စားသုံး,,1
စိတ်ပါဝင်စား,,1
စုစည်းနေထိုင်,,1
စုစည်းပါဝင်,,1
စုပေါင်း,,1
စောဒကတက်,,1
စွန့်ခွာ,,1
ဆင်ခြေပေး,,1
ဆံ့,,1
ဆွဲကြိုးချ,,1
ဈေးဝယ်ထွက်,,1
တိတ်ဆိတ်ငြိမ်သက်,,1
တိတ်ဆိတ်စွာ,,1
တောမီးလောင်,,1
ထက်နိမ့်,,1
ထိတ်,,1
ထိုးသတ်,,1
ထုတ်ပေး,,1
ထုတ်လွှင့်ပြ,,1
နေကောင်း,,1
ပင်တင်,,1
ပစ်ခတ်ခဲ့ပုံ,,1
ပိတ်မိ,,1
ပုန်းရှောင်,,1
ပူးတွဲ,,1
ပျံသန်းသွား,,1
ပြန်ရောက်,,1
ပြန်အပ်,,1
ပြောင်းလည်း,,1
