,value,x2,p,dof,significant
0,0,2.417193200985201,0.12000978676265052,1,0
1,1,24.434262954066927,7.688900666599059e-07,1,1
2,2,16.329900274582947,5.321760043375876e-05,1,1
3,3,2.664502145816244,0.1026099275231757,1,0
4,4,1.9313305278973336,0.16461295194508865,1,0
5,5,0.14552149018481972,0.7028524573179105,1,0
6,6,1.7557610852438184,0.1851541198132442,1,0
7,7,43.28016882834906,4.743669910334391e-11,1,1
8,8,20.944760780358916,4.7271888914348446e-06,1,1
9,9,1.3375351540050568,0.2474691169144373,1,0
10,10,52.16160281265989,5.111592734047218e-13,1,1
11,11,17.421525653592038,2.9941592426667476e-05,1,1
12,12,23.426263569210406,1.2979434988025516e-06,1,1
13,13,3.941095183438251,0.04712009154155654,1,1
14,14,5.0645946118009055,0.02441941616463566,1,1
