value,dwin,hnai
နေရာ,264,40
နေ့,616,29
အတွင်း,87,25
မြို့,135,23
အချိန်,128,21
နိုင်ငံ,195,20
ပွဲ,108,18
ဆေးရုံ,22,17
ခုနှစ်,420,16
ပြိုင်ပွဲ,98,16
ကွင်း,13,15
တရားရုံး,37,15
အစည်းအဝေး,30,15
ပြည်နယ်,65,14
နာရီ,54,13
