,value,value_pair,count
0,၌,,166
1,၌,ရှိ,65
2,၌,ဖြစ်,38
3,၌,သေဆုံး,33
4,၌,ကစား,14
5,၌,ပါဝင်,13
6,၌,ဖြစ်ပွား,13
7,၌,တွေ့,12
8,၌,ရရှိ,12
9,၌,အသုံးပြု,12
10,၌,စတင်,11
11,၌,ကျင်းပ,9
12,၌,နေထိုင်,9
13,၌,ပြော,9
14,၌,ရောက်,9
